Fecha,Estado,Precipitacion_mm,Radiacion_Wm2,Temp_Max,Temp_Min
2018-01-01,CDMX,0.5,4.4839,17.36,3.97
2018-01-02,CDMX,0.72,4.1066,19.08,3.76
2018-01-03,CDMX,0.01,4.3786,19.62,5.34
2018-01-04,CDMX,0.0,4.5324,19.62,3.52
2018-01-05,CDMX,0.0,4.8276,20.15,4.41
2018-01-06,CDMX,0.0,5.4482,19.31,4.58
2018-01-07,CDMX,0.0,5.4924,20.67,2.18
2018-01-08,CDMX,0.0,5.4074,18.58,2.47
2018-01-09,CDMX,0.0,5.6412,21.37,1.79
2018-01-10,CDMX,0.0,5.6018,22.14,2.94
2018-01-11,CDMX,0.0,5.6952,22.0,2.83
2018-01-12,CDMX,0.0,5.7811,19.76,0.63
2018-01-13,CDMX,0.0,5.7809,18.42,-0.98
2018-01-14,CDMX,0.0,5.8212,16.47,-2.6
2018-01-15,CDMX,0.0,5.8198,19.12,-1.05
2018-01-16,CDMX,0.1,5.6849,18.89,1.55
2018-01-17,CDMX,0.02,5.3952,18.75,-0.09
2018-01-18,CDMX,0.0,5.2913,17.6,3.54
2018-01-19,CDMX,0.01,4.9332,17.94,4.5
2018-01-20,CDMX,0.0,5.1732,19.51,4.47
2018-01-21,CDMX,0.0,5.4984,21.06,5.19
2018-01-22,CDMX,0.02,5.0712,22.01,5.04
2018-01-23,CDMX,1.25,4.8931,21.17,6.03
2018-01-24,CDMX,2.48,4.0138,17.4,3.52
2018-01-25,CDMX,1.68,3.6463,16.89,2.03
2018-01-26,CDMX,0.59,4.3889,19.03,4.62
2018-01-27,CDMX,1.29,4.5132,19.19,6.75
2018-01-28,CDMX,1.15,3.2594,14.93,6.21
2018-01-29,CDMX,0.55,2.7977,9.69,-0.41
2018-01-30,CDMX,0.03,3.8664,11.99,-1.62
2018-01-31,CDMX,0.01,3.8702,17.93,3.06
2018-02-01,CDMX,0.0,4.9606,20.65,5.29
2018-02-02,CDMX,0.02,5.844,21.72,4.97
2018-02-03,CDMX,0.01,5.0602,21.47,4.12
2018-02-04,CDMX,0.01,5.2402,22.57,6.93
2018-02-05,CDMX,0.2,5.3964,22.97,5.97
2018-02-06,CDMX,0.24,5.1569,22.5,7.71
2018-02-07,CDMX,0.45,4.3373,20.43,7.07
2018-02-08,CDMX,0.52,4.6735,17.71,7.18
2018-02-09,CDMX,2.7,3.3802,15.22,6.48
2018-02-10,CDMX,0.15,4.1306,18.74,5.23
2018-02-11,CDMX,0.0,4.0966,16.55,5.93
2018-02-12,CDMX,0.58,5.3405,21.58,4.11
2018-02-13,CDMX,0.12,5.4818,22.79,5.48
2018-02-14,CDMX,0.0,5.3251,22.69,6.08
2018-02-15,CDMX,0.0,6.3773,23.63,5.2
2018-02-16,CDMX,0.0,6.492,24.46,5.54
2018-02-17,CDMX,0.0,6.2462,23.64,6.27
2018-02-18,CDMX,0.04,6.007,22.67,5.27
2018-02-19,CDMX,3.07,4.1206,20.6,6.84
2018-02-20,CDMX,0.67,4.6702,20.56,8.04
2018-02-21,CDMX,0.37,5.5723,23.26,6.45
2018-02-22,CDMX,0.82,5.8795,24.29,6.76
2018-02-23,CDMX,0.12,5.8078,22.32,9.17
2018-02-24,CDMX,2.21,5.3407,23.89,6.39
2018-02-25,CDMX,0.76,5.7641,24.0,7.67
2018-02-26,CDMX,2.04,5.2985,22.41,9.23
2018-02-27,CDMX,1.22,5.9786,23.89,8.06
2018-02-28,CDMX,0.01,5.7821,25.1,7.43
2018-03-01,CDMX,0.05,6.3163,25.63,6.46
2018-03-02,CDMX,0.0,6.6794,24.54,7.74
2018-03-03,CDMX,0.0,6.6586,25.04,5.96
2018-03-04,CDMX,0.0,6.8299,25.64,5.87
2018-03-05,CDMX,0.27,6.2213,25.54,6.36
2018-03-06,CDMX,0.54,4.9958,25.1,7.45
2018-03-07,CDMX,1.29,4.4309,20.49,8.36
2018-03-08,CDMX,0.08,5.7571,22.73,8.03
2018-03-09,CDMX,0.17,6.2909,24.96,7.29
2018-03-10,CDMX,0.0,6.8254,26.7,6.78
2018-03-11,CDMX,0.05,6.96,27.56,7.54
2018-03-12,CDMX,0.64,6.1819,25.5,8.46
2018-03-13,CDMX,0.28,6.5515,26.16,7.47
2018-03-14,CDMX,0.97,6.4109,24.55,7.59
2018-03-15,CDMX,1.01,6.5393,24.92,7.1
2018-03-16,CDMX,0.09,6.5962,25.27,8.05
2018-03-17,CDMX,0.0,6.6898,25.74,7.92
2018-03-18,CDMX,0.02,5.7706,25.6,9.52
2018-03-19,CDMX,0.0,7.1926,26.89,8.44
2018-03-20,CDMX,0.37,6.6509,26.66,7.15
2018-03-21,CDMX,2.01,6.3394,26.54,7.53
2018-03-22,CDMX,0.37,6.5081,25.21,8.55
2018-03-23,CDMX,0.06,7.5636,26.0,5.02
2018-03-24,CDMX,0.0,7.7604,26.77,6.84
2018-03-25,CDMX,0.0,7.8132,27.73,7.28
2018-03-26,CDMX,0.03,7.2302,27.23,7.24
